id,parentId,department,name
A2CF00505601289111E8FEE7D10E713C,A2CF00505601289111E8FEE7C4179A88,Группа инженеров геодезического контроля,Группа инженеров геодезического контроля
A2CF00505601289111E8FEE7EDF24EF6,A2CF00505601289111E8FEE7C4179A88,Группа менеджеров по технике безопасности,Группа менеджеров по технике безопасности
B87000155D00230511ED8FDF97B5F012,A2CF00505601289111E8FEE7C4179A88,Группа охраны труда,Группа охраны труда
A2CF00505601289111E8FEE7F474E115,A2CF00505601289111E8FEE7C4179A88,Группа строительного контроля,Группа строительного контроля
A2CF00505601289111E944077EA48FFD,A2CF00505601289111E8FEE86207A36E,Инфраструктура и развитие городов,Инфраструктура и развитие городов
A2CF00505601289111E8FEE662DA14AB,A2CF00505601289111E8FEE86207A36E,Коммерческая и жилая недвижимость,Коммерческая и жилая недвижимость
B86000155D00230511EC5E75CE98D277,A2CF00505601289111E8FEE662DA14AB,Проектирование,Проектирование
B86000155D00230511EC5E766C8BC7B0,A2CF00505601289111E8FEE662DA14AB,Строительство,Строительство
A2CF00505601289111E8FEE64ADC52EB,A2CF00505601289111E8FEE86207A36E,Международное проектирование,Международное проектирование
A2CF00505601289111E8FEE7FF2F8155,A2CF00505601289111E8FEE86207A36E,ОРКК,ОРКК
A2CF00505601289111E8FEE829D9A352,A2CF00505601289111E8FEE86207A36E,Поддержка бизнеса,Поддержка бизнеса
A2CF00505601289111E8FEE8322D223F,A2CF00505601289111E8FEE829D9A352,Бухгалтерия,Бухгалтерия
B84F00155D00230511EB3B9AC2ACB7EF,A2CF00505601289111E8FEE829D9A352,Группа закупок,Группа закупок
A2CF00505601289111E8FEE83E3A8925,A2CF00505601289111E8FEE829D9A352,Группа обеспечения офиса,Группа обеспечения офиса
A2CF00505601289111E8FEE844601F17,A2CF00505601289111E8FEE829D9A352,Группа помощников руководителя,Группа помощников руководителя
A2CF00505601289111E8FEE8322D2240,A2CF00505601289111E8FEE829D9A352,Департамент информационных технологий,Департамент информационных технологий
B86000155D00230511EC53FB4F1B2C9C,A2CF00505601289111E8FEE8322D2240,Группа разработки,Группа разработки
B86000155D00230511EC53FAEA9AB0EB,A2CF00505601289111E8FEE8322D2240,Отдел цифровой инфраструктуры,Отдел цифровой инфраструктуры
B86000155D00230511EC53FBC6C949CC,B86000155D00230511EC53FAEA9AB0EB,Группа администрирования,Группа администрирования
B86000155D00230511EC53FBA62951E2,B86000155D00230511EC53FAEA9AB0EB,Группа поддержки пользователей,Группа поддержки пользователей
B86000155D00230511EC62755371262C,B86000155D00230511EC53FBA62951E2,Поддержка МСК,Поддержка МСК
B86000155D00230511EC6275964DBEBB,B86000155D00230511EC53FBA62951E2,Поддержка НСК,Поддержка НСК
B86000155D00230511EC62756A8E4BDD,B86000155D00230511EC53FBA62951E2,Поддержка СПб,Поддержка СПб
A2CF00505601289111E8FEE84B9CCF40,A2CF00505601289111E8FEE829D9A352,Отдел управления персоналом,Отдел управления персоналом
A2CF00505601289111E8FEE84B9CCF41,A2CF00505601289111E8FEE829D9A352,Финансовый отдел,Финансовый отдел
A2CF00505601289111E8FEE85C05D053,A2CF00505601289111E8FEE829D9A352,Юридический отдел,Юридический отдел
B86000155D00230511EC4D13FDA69704,A2CF00505601289111E8FEE86207A36E,Промышленная недвижимость,Промышленная недвижимость
